id, latitude, longitude, name, picture
066f8fd86b0b4bf797365798f25d2869.16, 23.527961, 120.265503,  永賢社區牌樓,  https://lh3.googleusercontent.com/B39VpVttHb4713RTodz4XmtrEY6doYF5jn43v1tEqjp-arZEtaG7SKP2goVroH9_fXesRLESVJ7LsrtMyJoUaDUZSIr6
2a526e3a7f484497867cfe8f2ad2dcea.16, 23.529638, 120.260777,  福德正神,  https://lh3.googleusercontent.com/lDatbemHL0AeY8gNj7WCD2rqfpn2i-nE2J4y3-D6HVrxeFlv_IPE6j9aMMCTT3B9B5KaRSUFWahPb4LvBHYUoQq5uns
ba9bc594dd1746cb84d3c4c0a2b78aeb.16, 23.514195, 120.209699,  順天宮,  https://lh3.googleusercontent.com/G6kyuslGjvdRli2H6pCkojqnT9-bZWJGvg1zLtgNB39obQhkww4E-vtMjgLUFnAiWSDo-XwervAlAfaUgwt52VNL9MOc
0a69e6cf8cab4993a7b259edd2d76071.16, 23.514322, 120.20994,  瓊埔休息站,  https://lh3.googleusercontent.com/lNq7iRkIucTyJIae9Ypuf8TxXuffz1lTWQC6EnYNelTwapLHIVcDOUOkG-E2CIKdztTmkCfeKzisctb8HziJVBhXbgo
d9086c88cffa4d4ca4864108cfbfd6f5.16, 23.514374, 120.211657,  東營大將軍,  https://lh3.googleusercontent.com/I0ha8CzADSsF4URq9MS8QwcNFDSH5eKbsQzi9YtRk1tUMls9nTx2SOUNgB8Vecb-J4Fnm-1bLoZlMrWGN3m-b1pIeQgB
c0dc5bd54d304ca1a6b3775e895e7e61.16, 23.515453, 120.202041,  南營大將軍廟,  https://lh3.googleusercontent.com/3afq0gY76XNFfHduJWp1wMCb9sTvsxMTwOsOcS0L0jHCFaqTlP4YTcIobOsYE6mzXNKNTJ9jf-22mNHHWoCkOmut__4
c66d8dda057e48b28b017c35854725ae.16, 23.516053, 120.202041,  塭底保安宮,  https://lh3.googleusercontent.com/kldgvP5yKZloxdSnZ1kpyXkLzaZuqyJnroWZK5G6Mdcega7Y6H5Njj6Cc6F1Q4aikoNFI_oQWCsLWnBzvAC5-VJkHA
802d70fb487441e888fed55119b22933.16, 23.516474, 120.202917,  塭底龍天府,  https://lh5.ggpht.com/hz90XJDPHI6fm3GQ-8k6XL595pqhqkSgtB5mdcfOpd0QLiPDJDP8uz6NxRL2sG6HPiNWBJoXx8YIXC8C9CI
f93250876149422bbb4ecac42e07c8a9.16, 23.516883, 120.202089,  保安宮涼亭,  https://lh3.googleusercontent.com/-XL3AfSwxVJ8q4Ht9IgG8TZ3-iljAj8y2CzI40K3u5VPioWqlSgq0O7N4ogjtlJsbfu56gvcpB9g_v16f9o1rdMmpw
19f79fe275c140e2bb4fe74a85a6f1c1.16, 23.517034, 120.208501,  北營大將軍,  https://lh3.googleusercontent.com/0pzW0Brs3m77SW218y82sezSswBWP75LCaPvLTNj-iqU1qKEsZ58btmX4Inmr49jJY7-wBAdtpb0oWJ0kQrLxXKSu2V1
26bbe689fff84244a6d152665dcf0b88.16, 23.517395, 120.208249,  瓊埔社區,  https://lh3.googleusercontent.com/RVCXjjPku2s10ktts-8krWJNQ3q7oBi5rVqV4oEOeGdEoIj7aBFjW02FyBLRlq1rROLCBNH_9U05jHuapHmn3yWqaQ
c93ff196d0f84ec5bdfce77030d72a4e.16, 23.517518, 120.207984,  陶瓷鳥藝術,  https://lh3.googleusercontent.com/rldw_E3yZS3erlpJUulsZ2Lin7S7eLFCvPcfPe6vTtc6Btpir3Z7uCae3ufdRTnlEIWhPmKdj_7clndmSG78CthwgA
582a40b3199b4cbab129a309666f23df.16, 23.517581, 120.201489,  北營廟,  https://lh3.googleusercontent.com/hcOQChS46lTPLI67AHEM0GCYZwuVsqUw0jK8fewyldGVu0ZVzD1Zkl9UL4KsZW2SO6Gp5SYhwUajPYIdD5ni2xDNhIgH
3d6b9823aa3e4b8b8f68700b517200e8.16, 23.5103, 120.224716,  松山大橋標誌(北側),  https://lh3.googleusercontent.com/ilP9Aeg6Gl7-HcXR_16gZOP9TIjfp3fvkYWAAXM_TxiN0YS-odIz9oodZnQKyfhaqG5prTWCbGDuDffPiJzWNCqW7XE
10a9626f70014e2c98d4ce6968e83be7.16, 23.510628, 120.225156,  南營大將軍廟,  https://lh3.ggpht.com/w_wi4DT7zaNy5MMAsdSSWy1fVvrLCi_T51E_aOAtW1KvSI5GXJv9eIALy2N9NSpC3dP6NhFizE1EgwUGlk8
3ece8f06fb774a5ca9c11841a5668ceb.16, 23.511626, 120.227917,  彩繪檳榔攤,  https://lh3.googleusercontent.com/D-eTZyi9GI0xaZkiC2UKhAqS69pBydV03tXVwv9ewBXKXIeccoQS4mivQapcQhVaIjhqv6rBwakw40w48UHFN2VtYqVb
fb61cf111e4940279a3948e82d2380b1.16, 23.512269, 120.227431,  金爐,  https://lh3.googleusercontent.com/CvTpKcEGvu0K0GDH_qdysRttfuAI6UPdtbMLD0DxVz3yRjmlrQ3WDU2aO-rTBiMYGbT_D25BIqOKamKkLmHLaX7102o
6eefb860945345c4aab67d42c1d55e0b.16, 23.513674, 120.229078,  蕃薯兄弟,  https://lh3.googleusercontent.com/rhXwHiAt5Fc7EG6TWzP0-eXsyJe2yIPglpaU60wJlgYQa_Ks-Rt_xUYXNm_6HZzQwTT1LVPd39CA1xR1OdY9TAUKqag
2afde437e3b04b948d565f1d320aac3c.16, 23.513745, 120.228894,  蕃薯嬸,  https://lh5.ggpht.com/FWIlThYgAN4guS_DTGelYSv10jw3LG-lZvcAv5s0LUawBudLuGXxcxQXoCOnyN2S1Zb_ncfJLv5ERZUI_06sFg
0a203c9c61b545dea899871dc7cbe42c.16, 23.516683, 120.2245,  西營大將軍,  https://lh3.googleusercontent.com/B4XtAsG-HUpiziIYCOOXsLKAbdQJPKDtHdiKYVrxvvhcTQ_ctT8bTKnJdlMKedjZA578G1tRCJfzEcfb-XLZ
e7101b37359149c8a4917a1d311687cf.16, 23.511608, 120.227599,  天保宮,  https://lh3.googleusercontent.com/nlButq878gqeIZnUN2TK8w_TaGZnvRIJkeEWScgpD62Z6X8RAP9nzsoS5C1x81Fq9diWWW90wRRsoXbuNWWqpJFf0Fqy
f322b95301b04ca8ba00efed541f0bec.16, 23.513891, 120.229198,  馬賽克鑲嵌公車站,  https://lh3.googleusercontent.com/wzCV3_f2yBluyWwjTFjRf4hzQALu_ZFNyA111I2jqPN5dTVaNmjvCy-CXhNCXxAKgv4DxBF75flekIc_0LK5YNrszAs
d47f74235ab743819b24c78fbec43495.16, 23.507564, 120.255312,  六角六南社區碑誌,  https://lh3.googleusercontent.com/XvXB7mQsvFJWQgzTCGvPm--g2BqACb-HxV6r9RwiuhH0-Z_XjGhX54JbZo-Tgho3wSan2Lc4nwPUm_bBBPq2cFeB26I
2b003a3a498e4f1b95c11330fffc7ef7.16, 23.508727, 120.256194,  真耶穌教會,  https://lh3.googleusercontent.com/kSrX7KcdjWAe9ayeKTGEBbNG1hkVpVMeRqPBdFc6I_2HMLWwZ7X66YRmOTgXGQjpaybn6ZFfFlkvb-Y2QNqB
28c08ac2a5a143d5803e2905453ee10b.16, 23.499517, 120.17996,  西營小廟,  https://lh3.googleusercontent.com/6haNDi_t4c3rktJNOS2kYzQ0zN2gr8yCiF6f3DTEHjOd9SR8hFrrktYlbabsWfZiPBOX7kijz3zQ3qLHrjK0szI5UU9m
0a2c00f68a4a4c90b9764539595686df.16, 23.494714, 120.185132,  獵魚高手,  https://lh3.googleusercontent.com/BpHhYDVKdihUdpGcS7IkBwhxQwMPC7Y83XTrXXhxtFoDmxdAWI0Nk8N23PwRq1egg-yiO8_-J4WlV8Pp4GCCuytpklc
c275ef6b6e6d46a7b6309086177444d1.16, 23.494718, 120.18543,  熬鼓濕地生態園區碑誌,  https://lh6.ggpht.com/ZM3XOOiFlzDa0c_7qbQ-0TGMIa02YPJMWqtpYv6tsnT6meH3V07j2dXdPotUy0YuRLiAO0hks1uVVR_usza-
62fa74b8bc914896875a71941ee6ba14.16, 23.494723, 120.186652,  退休蒸汽機關車 DT 651型,  https://lh3.googleusercontent.com/L2-ze_WlCwpr2Q7tz9cLgdGWVlkB1xHPEYwIY21Z5-Dqwc6TiEnWuo56cv_EhN4VlXsYRT04wBUdxug0aI0ClsMDue7B
30c2c7e7fbbd4d81a881e1c7025ba245.16, 23.494755, 120.184575,  魚魚魚,  https://lh3.googleusercontent.com/bhLfweIcxJwash4IU16lxrL-3OzXHc7dyiZK3H3U7QLcNBjxRuo6VB6OPjhopYUl9iOhLPSPI3bV7uKtLqi1G2B7F8U
72f24243e59f4fc08f0fd42bb0c82500.16, 23.495396, 120.186108,  港口宮,  https://lh6.ggpht.com/kvrB-_0GJ78FR4EYQzazDhCB_l78z3zV60xyGS0Twj58Wv5R1GFfR1MDM7JTt8Ka8JTtkTT4XNQ8jrAScSWQ
1f7c63d2ae504b73a609b1eec8240ed6.16, 23.495506, 120.185405,  涼亭,  https://lh3.googleusercontent.com/vWO_KL00nJjM8Qjd7a8oPP1uSmM1LIQZSFLDnSsmu54Odf5Ak1lLRXwBCA7x58mgxjvm3Qjg2F33rAN4is3y9V8h2g
9f874799ad294900a91786be66a88a60.16, 23.495987, 120.185585,  神龍,  https://lh3.googleusercontent.com/GMtOacOwWBHZcs-8n9I6urxGZ4lpBKSg1DC4sSRDteFxo7APIxAb1hafD67ZgtFWSyl6XolLXTsbpkIjRMnWVVSfnW40
414d4042a9a14651a95bffbf4885ecbd.16, 23.49602, 120.184832,  十二元帥廟,  https://lh3.googleusercontent.com/1N4sU0GLp5LwO00q5NQzSt0t2phbu0F6By_PqJZhuByNu-QHpf9E6AW7VSFtN7oNHaRz4TgeNoQZ9pj834YjZVZEVyA
44ed3bca436f4405b0e0313422868d15.16, 23.500572, 120.190139,  溪下社區石碑,  https://lh3.googleusercontent.com/8-t-qg4RbYXCNt8qHIhwXS85n5xMb0Y9SD_cm8zXyhlFDHpni_LTNy8e2UjsWkIhrpISOF_FjWAKXsgV9YfoCwflzPg8
5a6b4b3705ca407da6bffced23dd6b9e.16, 23.497472, 120.195282,  土地公廟,  https://lh3.googleusercontent.com/XSLk2kJqWQGxxwU8N0weXlzYuBpdHkdiNFYDvLbErMZ0l_gFQIDG9BsRo758JuRhAtutt7El5HRw-quhi4iN9HJT2s4
37458860dda14200966fff8c406347a1.16, 23.497708, 120.196135,  福安宮,  https://lh3.googleusercontent.com/ClR7ODAZoGSZA4kFdFRdQlTzRWNd3ghTNj_mruzLguPp1XVNeQ3jT5LgTSodI_i0SswOYSk2JkiGY_izZjuLCO9JIcM
1122f06e01af4d89b2ad7306ef2a4346.16, 23.497351, 120.225395,  朴子溪自行車道告示牌,  https://lh3.googleusercontent.com/JgMm4m28lx_r9BrzpsKm3ESa33AwJSh1d0Ta_WjSLvwaGsDQNqGY4A-JRuRlkehEV-Fmi1v3d_wNCpAuVr03QUyfBw
b3702b7f414f4639bf2fda3a0928ca6e.16, 23.503198, 120.227848,  中營元帥廟,  https://lh3.googleusercontent.com/oo5_Ag_fVRm7T_BvgFGsE1WlcdZRUaJQ63Syp8vVX_k1bcR20ua8V3_JbXKVizmJTvg9igSnitqksqHWYBKu
20bbffc3afd34dfebaeda621c7ecbc3a.16, 23.503239, 120.228251,  後崩山 順天宮,  https://lh3.googleusercontent.com/LRIxkcB46rgAOJDm6WZca-QstlnEYssgSXVZBATJH22v_ntCL576g2ddIav_-wSnTBiRNWCMC4QF-t2HzPsjTS3VZus
45a1e3a79021422fb26cc8e737eb4f3a.16, 23.503573, 120.228171,  湖心亭,  https://lh3.googleusercontent.com/vtLgRX1YoRBk6j4XxXC6UF9GaocGHtZMhkR1i5OcZRZsoOKjUYT77KV0vJwkeEq5oIR5FFKPZOgWuzvxNMk7dEpx5u_8
8840fa4f71444d63939eed75ba1137c7.16, 23.50391, 120.226337,  小廟,  https://lh3.googleusercontent.com/uYuwPFV_PhHEJqWWsd2xoJWd0Csm147aH6iM1kaXmAF0JkthqB3AW6NiV3tMQcmc1P8Uf6xYDKtooW3VuEBnzD4Lr3LW
6a5f8d1fe7d844c6a5cb45fbe95165cf.16, 23.504281, 120.230082,  配南宮報思塔,  https://lh4.ggpht.com/-x_K12-1kg56xziXx77kc8xz_4xC9L2ktjyfpGW_s59fEIY3KElBUwIwpiGIMNO-YAe0K04oa3eb7QJZyJnSkw
5cac1682a821449d9b122f6ea0a857a8.16, 23.503473, 120.227865,  崩山社區,  https://lh3.googleusercontent.com/T8N0u-O1teVs4h10tPqN-chp79expvUq80k10iNl-5JLwWYRu3ofT4QWG_gOvWma6FnN4FSTXHujidL4FCeUZK0xF1cT
f4b7f05a16c844d3959e424f480173db.16, 23.494427, 120.269454,  德龍宮,  https://lh3.googleusercontent.com/-Yiy1o1BwrwMmLXGgutELjNWX5C5J7DZzrGLyAzKILfElGZPTAagVK6BqHM0kTZIBnSY5Tpk2zye0fLEX_bBAI9cEg
d7d0576fadd645ebae3b5cbec273b19d.16, 23.495171, 120.27629,  溪厝社區,  https://lh3.googleusercontent.com/SmMY5WnY995ymp3qadpN2Mubv95L1G4emaRliWAnK8QQxRiWO1r3MBPu5fPGYmAnqdpZg1oEKyNxZRGBTpyXT5_16Pns
4710eb7c522549a9aad52c520e2ff222.16, 23.49531, 120.276491,  水池,  https://lh5.ggpht.com/ZPO05tCIgkL_AI9ESGKnGFOmZakZVIoUAhqW04skXfeteOPax-ySvLKgz_gPLXMl17L3lxBcSrqF4WnSpUdg
a85b057eb3754d03abfb275f878823e2.16, 23.49561, 120.273191,  龍旨宮,  https://lh4.ggpht.com/38Xh9JU5UhwYEPDlTneCLqkhNgKIH_MFzLgIn1Z594I0rF5oOpF8aVfN7dBV7RG1fsZhRfLY8o8x816gOC1P
